artist,title,album,length,size,url,download
Abbasuddin Ahmed,Moyurponkhi Nouka,Bhatir Ganger Naiya,3:13,7.38,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Moyurponkhi%20Nouka%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Moyurponkhi%20Nouka%20(music.com.bd).mp3
Abbasuddin Ahmed,Nao Chiara De,Bhatir Ganger Naiya,3:00,6.9,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Nao%20Chiara%20De%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Nao%20Chiara%20De%20(music.com.bd).mp3
Abbasuddin Ahmed,Nodeer Kul Nai,Bhatir Ganger Naiya,3:21,7.7,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Nodeer%20Kul%20Nai%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Nodeer%20Kul%20Nai%20(music.com.bd).mp3
Abbasuddin Ahmed,O Dheu Khelere,Bhatir Ganger Naiya,2:57,6.76,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20O%20Dheu%20Khelere%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20O%20Dheu%20Khelere%20(music.com.bd).mp3
Abbasuddin Ahmed,Oi Shono Kodomb Toley,Bhatir Ganger Naiya,3:25,7.86,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Oi%20Shono%20Kodomb%20Toley%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Oi%20Shono%20Kodomb%20Toley%20(music.com.bd).mp3
Abbasuddin Ahmed,O Mon Guru Bhojore,Bhatir Ganger Naiya,3:10,7.26,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20O%20Mon%20Guru%20Bhojore%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20O%20Mon%20Guru%20Bhojore%20(music.com.bd).mp3
Abbasuddin Ahmed,Ore O Praner Majhi,Bhatir Ganger Naiya,3:10,7.28,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Ore%20O%20Praner%20Majhi%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Ore%20O%20Praner%20Majhi%20(music.com.bd).mp3
Abbasuddin Ahmed,O Sukher Moyna Re,Bhatir Ganger Naiya,3:36,8.28,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20O%20Sukher%20Moyna%20Re%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20O%20Sukher%20Moyna%20Re%20(music.com.bd).mp3
Abbasuddin Ahmed,Phande Poriya Baga Kande Re,Bhatir Ganger Naiya,3:15,7.48,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Phande%20Poriya%20Baga%20Kande%20Re%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Phande%20Poriya%20Baga%20Kande%20Re%20(music.com.bd).mp3
Abbasuddin Ahmed,Sona Bandhu Re,Bhatir Ganger Naiya,3:26,7.89,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Sona%20Bandhu%20Re%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Sona%20Bandhu%20Re%20(music.com.bd).mp3
Abbasuddin Ahmed,Thakte Paaro Ghatate Tumi,Bhatir Ganger Naiya,3:07,7.17,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Thakte%20Paaro%20Ghatate%20Tumi%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Thakte%20Paaro%20Ghatate%20Tumi%20(music.com.bd).mp3
Abbasuddin Ahmed,Tora Ke Ke Jabi,Bhatir Ganger Naiya,3:15,7.46,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Tora%20Ke%20Ke%20Jabi%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Tora%20Ke%20Ke%20Jabi%20(music.com.bd).mp3
Abdul Alim,Allah Allah,Abdul Alim,3:12,2.95,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Allah%20Allah%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Allah%20Allah%20(music.com.bd).mp3
Abdul Alim,Amare Sajaiya Dio,Abdul Alim,3:06,2.86,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Amare%20Sajaiya%20Dio%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Amare%20Sajaiya%20Dio%20(music.com.bd).mp3
Abdul Alim,Duare Aisachhe Palki,Abdul Alim,2:55,2.7,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Duare%20Aisachhe%20Palki%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Duare%20Aisachhe%20Palki%20(music.com.bd).mp3
Abdul Alim,Holudia Pakhi,Abdul Alim,6:01,5.54,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Holudia%20Pakhi%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Holudia%20Pakhi%20(music.com.bd).mp3
Abdul Alim,Ke Go Nirale Boshi,Abdul Alim,2:56,2.7,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Ke%20Go%20Nirale%20Boshi%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Ke%20Go%20Nirale%20Boshi%20(music.com.bd).mp3
Abdul Alim,Keho Kore Becha,Abdul Alim,3:06,2.86,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Keho%20Kore%20%20Becha%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Keho%20Kore%20%20Becha%20(music.com.bd).mp3
Abdul Alim,Mon Bhromora,Abdul Alim,3:08,2.89,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Mon%20Bhromora%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Mon%20Bhromora%20(music.com.bd).mp3
Abdul Alim,Mone Boro Asha,Abdul Alim,2:55,2.69,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Mone%20Boro%20Asha%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Mone%20Boro%20Asha%20(music.com.bd).mp3
Abdul Alim,Nobi Moor Parash Moni,Abdul Alim,2:53,2.66,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Nobi%20Moor%20Parash%20Moni%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Nobi%20Moor%20Parash%20Moni%20(music.com.bd).mp3
Abdul Alim,Osomoy Banshi Bajai,Abdul Alim,2:32,2.35,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Osomoy%20Banshi%20Bajai%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Osomoy%20Banshi%20Bajai%20(music.com.bd).mp3
Abdul Alim,Porer Jaiga Porer Jami,Abdul Alim,2:43,2.5,http://music.com.bd/download/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Porer%20Jaiga%20Porer%20Jami%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Alim/Abdul%20Alim%20-%20Porer%20Jaiga%20Porer%20Jami%20(music.com.bd).mp3
Abdul Jabber,Bidai Dau Go,,4:09,3.82,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Bidai%20Dau%20Go%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Bidai%20Dau%20Go%20(music.com.bd).mp3
Abdul Jabber,Du Jahaner Malik,,3:30,3.22,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Du%20Jahaner%20Malik%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Du%20Jahaner%20Malik%20(music.com.bd).mp3
Abdul Jabber,Ek Buk Jala,,4:29,4.12,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Ek%20Buk%20Jala%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Ek%20Buk%20Jala%20(music.com.bd).mp3
Abdul Jabber,E Milik E Jahan,,4:11,3.86,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20E%20Milik%20E%20Jahan%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20E%20Milik%20E%20Jahan%20(music.com.bd).mp3
Abdul Jabber,Khela Ghar Bare Bare,,2:29,2.29,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Khela%20Ghar%20Bare%20Bare%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Khela%20Ghar%20Bare%20Bare%20(music.com.bd).mp3
Abdul Jabber,Mukh Dekhe Bhul,,3:34,3.29,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Mukh%20Dekhe%20Bhul%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Mukh%20Dekhe%20Bhul%20(music.com.bd).mp3
Abdul Jabber,Oi Dur Digonte,,3:26,3.16,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Oi%20Dur%20Digonte%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Oi%20Dur%20Digonte%20(music.com.bd).mp3
Abdul Jabber,O Moner Moyna,,3:20,3.07,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20O%20Moner%20Moyna%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20O%20Moner%20Moyna%20(music.com.bd).mp3
Abdul Jabber,Omon Kore Jeona,,4:44,4.36,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Omon%20Kore%20Jeona%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Omon%20Kore%20Jeona%20(music.com.bd).mp3
Abdul Jabber,Ore Neel Doria,,4:41,4.31,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Ore%20Neel%20Doria%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Ore%20Neel%20Doria%20(music.com.bd).mp3
Abdul Jabber,Ore Pakhi,,3:34,3.29,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Ore%20Pakhi%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Ore%20Pakhi%20(music.com.bd).mp3
Abdul Jabber,Petch Dhala Ei,,3:21,3.08,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Petch%20Dhala%20Ei%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Petch%20Dhala%20Ei%20(music.com.bd).mp3
Abdul Jabber,Prithibi Tomar,,5:13,4.8,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Prithibi%20Tomar%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Prithibi%20Tomar%20(music.com.bd).mp3
Abdul Jabber,Sahar Bashi Suno,,3:53,3.57,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Sahar%20Bashi%20Suno%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Sahar%20Bashi%20Suno%20(music.com.bd).mp3
Abdul Jabber,Sathi Amar Holona,,4:10,3.84,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Sathi%20Amar%20Holona%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Sathi%20Amar%20Holona%20(music.com.bd).mp3
Abdul Jabber,Shotru Tumi Bondu,,3:51,3.55,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Shotru%20Tumi%20Bondu%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Shotru%20Tumi%20Bondu%20(music.com.bd).mp3
Abdul Jabber,Tara Bhora Raate,,4:16,3.92,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Tara%20Bhora%20Raate%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Tara%20Bhora%20Raate%20(music.com.bd).mp3
Abdul Jabber,Tumar Bhubone,,3:36,3.32,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Tumar%20Bhubone%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Tumar%20Bhubone%20(music.com.bd).mp3
Abdul Jabber,Tumi Ki Dekhechho,,3:08,2.89,http://music.com.bd/download/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Tumi%20Ki%20Dekhechho%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abdul%20Jabber/Abdul%20Jabber%20-%20Tumi%20Ki%20Dekhechho%20(music.com.bd).mp3
Abid,Mayabi Raat,Bhalobashar Prohor,5:13,4.79,http://music.com.bd/download/Music/A/Abid/Bhalobashar%20Prohor/01%20-%20Abid%20-%20Mayabi%20Raat%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Bhalobashar%20Prohor/01%20-%20Abid%20-%20Mayabi%20Raat%20(music.com.bd).mp3
Abid,Bhalobashar Prohor,Bhalobashar Prohor,5:11,4.76,http://music.com.bd/download/Music/A/Abid/Bhalobashar%20Prohor/02%20-%20Abid%20-%20Bhalobashar%20Prohor%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Bhalobashar%20Prohor/02%20-%20Abid%20-%20Bhalobashar%20Prohor%20(music.com.bd).mp3
Abid,Shono Go Meghbalika,Bhalobashar Prohor,5:20,4.9,http://music.com.bd/download/Music/A/Abid/Bhalobashar%20Prohor/03%20-%20Abid%20-%20Shono%20Go%20Meghbalika%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Bhalobashar%20Prohor/03%20-%20Abid%20-%20Shono%20Go%20Meghbalika%20(music.com.bd).mp3
Abid,Tumi Ele Tai,Bhalobashar Prohor,3:56,3.62,http://music.com.bd/download/Music/A/Abid/Bhalobashar%20Prohor/04%20-%20Abid%20-%20Tumi%20Ele%20Tai%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Bhalobashar%20Prohor/04%20-%20Abid%20-%20Tumi%20Ele%20Tai%20(music.com.bd).mp3
Abid,Jiggasha,Bhalobashar Prohor,4:42,4.33,http://music.com.bd/download/Music/A/Abid/Bhalobashar%20Prohor/05%20-%20Abid%20-%20Jiggasha%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Bhalobashar%20Prohor/05%20-%20Abid%20-%20Jiggasha%20(music.com.bd).mp3
Abid,Nissongota,Bhalobashar Prohor,6:26,5.91,http://music.com.bd/download/Music/A/Abid/Bhalobashar%20Prohor/06%20-%20Abid%20-%20Nissongota%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Bhalobashar%20Prohor/06%20-%20Abid%20-%20Nissongota%20(music.com.bd).mp3
Abid,Bondhu,Bhalobashar Prohor,4:45,4.37,http://music.com.bd/download/Music/A/Abid/Bhalobashar%20Prohor/07%20-%20Abid%20-%20Bondhu%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Bhalobashar%20Prohor/07%20-%20Abid%20-%20Bondhu%20(music.com.bd).mp3
Abid,Nishuti Raat,Bhalobashar Prohor,5:09,4.74,http://music.com.bd/download/Music/A/Abid/Bhalobashar%20Prohor/08%20-%20Abid%20-%20Nishuti%20Raat%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Bhalobashar%20Prohor/08%20-%20Abid%20-%20Nishuti%20Raat%20(music.com.bd).mp3
Abid,Maago Tomar Chelera,Bhalobashar Prohor,5:04,4.65,http://music.com.bd/download/Music/A/Abid/Bhalobashar%20Prohor/09%20-%20Abid%20-%20Maago%20Tomar%20Chelera%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Bhalobashar%20Prohor/09%20-%20Abid%20-%20Maago%20Tomar%20Chelera%20(music.com.bd).mp3
Abid,Shono Go Meghbalika (Unplugged),Bhalobashar Prohor,7:05,6.51,http://music.com.bd/download/Music/A/Abid/Bhalobashar%20Prohor/10%20-%20Abid%20-%20Shono%20Go%20Meghbalika%20(Unplugged)%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Bhalobashar%20Prohor/10%20-%20Abid%20-%20Shono%20Go%20Meghbalika%20(Unplugged)%20(music.com.bd).mp3
Abid,Bhalobeshe Shokhi,Eto Bhalobashi,4:40,6.44,http://music.com.bd/download/Music/A/Abid/Eto%20Bhalobashi/01%20-%20Abid%20-%20Bhalobeshe%20Shokhi%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Eto%20Bhalobashi/01%20-%20Abid%20-%20Bhalobeshe%20Shokhi%20(music.com.bd).mp3
Abid,Ami Kaan Pete Roi,Eto Bhalobashi,3:29,4.8,http://music.com.bd/download/Music/A/Abid/Eto%20Bhalobashi/02%20-%20Abid%20-%20Ami%20Kaan%20Pete%20Roi%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Eto%20Bhalobashi/02%20-%20Abid%20-%20Ami%20Kaan%20Pete%20Roi%20(music.com.bd).mp3
Abid,Tomarei Koriasi Jiboner,Eto Bhalobashi,4:23,6.04,http://music.com.bd/download/Music/A/Abid/Eto%20Bhalobashi/03%20-%20Abid%20-%20Tomarei%20Koriasi%20Jiboner%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Eto%20Bhalobashi/03%20-%20Abid%20-%20Tomarei%20Koriasi%20Jiboner%20(music.com.bd).mp3
Abid,Tomar Khola Hawa,Eto Bhalobashi,4:14,5.83,http://music.com.bd/download/Music/A/Abid/Eto%20Bhalobashi/04%20-%20Abid%20-%20Tomar%20Khola%20Hawa%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Eto%20Bhalobashi/04%20-%20Abid%20-%20Tomar%20Khola%20Hawa%20(music.com.bd).mp3
Abid,Choron Dhorite Diogo Amare,Eto Bhalobashi,5:04,6.98,http://music.com.bd/download/Music/A/Abid/Eto%20Bhalobashi/05%20-%20Abid%20-%20Choron%20Dhorite%20Diogo%20Amare%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Eto%20Bhalobashi/05%20-%20Abid%20-%20Choron%20Dhorite%20Diogo%20Amare%20(music.com.bd).mp3
Abid,Fagun Haway Haway,Eto Bhalobashi,3:17,4.52,http://music.com.bd/download/Music/A/Abid/Eto%20Bhalobashi/06%20-%20Abid%20-%20Fagun%20Haway%20Haway%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Eto%20Bhalobashi/06%20-%20Abid%20-%20Fagun%20Haway%20Haway%20(music.com.bd).mp3
Abid,Amar Bela Je Jaay,Eto Bhalobashi,3:15,4.48,http://music.com.bd/download/Music/A/Abid/Eto%20Bhalobashi/07%20-%20Abid%20-%20Amar%20Bela%20Je%20Jaay%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Eto%20Bhalobashi/07%20-%20Abid%20-%20Amar%20Bela%20Je%20Jaay%20(music.com.bd).mp3
Abid,Ami Chinigo Chini,Eto Bhalobashi,3:32,4.87,http://music.com.bd/download/Music/A/Abid/Eto%20Bhalobashi/08%20-%20Abid%20-%20Ami%20Chinigo%20Chini%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abid/Eto%20Bhalobashi/08%20-%20Abid%20-%20Ami%20Chinigo%20Chini%20(music.com.bd).mp3
